reviewProConsIdx,reviewIdx,prosIdx,consIdx
335,335,3,2
336,336,2,4
337,337,5,6
338,338,1,3
339,339,5,8
340,340,3,7
341,341,6,7
342,342,2,1
343,343,3,6
344,344,4,1
345,345,3,4
346,346,3,7
347,347,2,4
348,348,2,4
349,349,1,6
350,350,2,3
351,351,5,8
352,352,5,8
353,353,1,1
354,354,3,2
355,355,2,2
356,356,1,1
357,357,1,5
358,358,2,6
359,359,5,5
360,360,2,8
361,361,3,6
362,362,5,8
363,363,1,5
364,364,6,2
365,365,4,7
366,366,5,4
367,367,3,6
368,368,4,1
369,369,4,7
370,370,2,2
371,371,2,2
372,372,4,1
373,373,3,6
374,374,1,5
375,375,4,1
376,376,1,7
377,377,4,5
378,378,1,8
379,379,3,1
380,380,5,2
381,381,1,4
382,382,1,3
383,383,1,4
384,384,4,1
385,385,3,2
386,386,1,1
387,387,1,6
388,388,3,8
389,389,3,5
390,390,2,6
391,391,1,4
392,392,5,6
393,393,4,2
394,394,5,4
395,395,6,4
396,396,4,7
397,397,5,2
398,398,1,8
399,399,4,6
400,400,4,5
401,401,3,8
402,402,6,7
403,403,3,3
404,404,1,5
405,405,4,2
406,406,3,4
407,407,4,7
408,408,2,1
409,409,5,5
410,410,5,6
411,411,3,2
412,412,2,4
413,413,1,5
414,414,2,5
415,415,2,1
416,416,1,8
417,417,1,8
418,418,2,7
419,419,5,4
420,420,3,8
421,421,5,5
422,422,3,2
423,423,5,6
424,424,6,3
425,425,3,5
426,426,2,7
427,427,4,4
428,428,1,6
429,429,1,5
430,430,4,1
431,431,3,2
432,432,4,6
433,433,5,6
434,434,1,3
435,435,4,1
436,436,2,3
437,437,4,3
438,438,4,6
439,439,1,1
440,440,1,3
441,441,3,5
442,442,1,7
443,443,4,5
444,444,3,8
445,445,3,2
446,446,2,6
447,447,4,1
448,448,1,6
449,449,3,5
450,450,2,5
451,451,3,1
452,452,4,5
453,453,1,4
454,454,4,5
455,455,2,5
456,456,3,2
457,457,4,1
458,458,4,8
459,459,6,6
460,460,1,2
461,461,1,6
462,462,5,3
463,463,2,1
464,464,1,8
465,465,4,1
466,466,4,3
467,467,1,3
468,468,2,2
469,469,4,3
470,470,1,3
471,471,1,5
472,472,5,6
473,473,5,4
474,474,5,4
475,475,1,8
476,476,5,6
477,477,1,1
478,478,2,6
479,479,4,2
480,480,4,1
481,481,4,6
482,482,6,6
483,483,3,1
484,484,2,2
485,485,3,6
486,486,3,4
487,487,4,2
488,488,2,8
489,489,6,6
490,490,6,4
491,491,5,3
492,492,1,8
493,493,4,3
494,494,5,4
495,495,1,8
496,496,1,8
497,497,4,4
498,498,1,7
499,499,3,4
500,500,4,7
501,501,5,5
502,502,3,2
503,503,3,1
504,504,4,3
505,505,4,1
506,506,5,3
507,507,5,7
508,508,3,5
509,509,1,5
510,510,2,4
511,511,1,8
512,512,1,2
513,513,2,3
514,514,2,5
515,515,5,2
516,516,4,1
517,517,1,5
518,518,5,1
519,519,3,7
520,520,2,7
521,521,3,2
522,522,3,3
523,523,5,4
524,524,5,5
525,525,3,3
526,526,5,2
527,527,3,8
528,528,1,1
529,529,1,8
530,530,2,2
531,531,5,2
532,532,6,1
533,533,1,6
534,534,2,3
535,535,2,6
536,536,2,3
537,537,1,3
538,538,6,1
539,539,6,7
540,540,4,2
541,541,6,6
542,542,1,5
543,543,1,5
544,544,5,8
545,545,4,2
546,546,1,2
547,547,5,5
548,548,3,4
549,549,5,8
550,550,1,5
551,551,1,2
552,552,2,3
553,553,2,5
554,554,4,3
555,555,6,7
556,556,4,2
557,557,1,8
558,558,4,8
559,559,5,4
560,560,6,7
561,561,1,7
562,562,5,6
563,563,4,8
564,564,5,2
565,565,4,4
566,566,3,6
567,567,4,4
568,568,1,2
569,569,5,5
570,570,4,6
571,571,4,6
572,572,5,4
573,573,3,1
574,574,5,4
575,575,1,5
576,576,1,4
577,577,3,3
578,578,2,6
579,579,1,3
580,580,5,1
581,581,5,5
582,582,3,3
583,583,2,1
584,584,4,7
585,585,1,3
586,586,1,6
587,587,4,6
588,588,5,6
589,589,5,6
590,590,5,5
591,591,4,1
592,592,4,6
593,593,3,8
594,594,2,1
595,595,1,2
596,596,6,3
597,597,2,4
598,598,6,8
599,599,2,5
600,600,6,3
601,601,1,6
602,602,3,3
603,603,5,1
604,604,5,3
605,605,3,4
606,606,1,7
607,607,1,7
608,608,1,8
609,609,4,1
610,610,3,6
611,611,1,4
612,612,3,3
613,613,1,7
614,614,2,2
615,615,6,5
616,616,1,3
617,617,4,7
618,618,2,8
619,619,2,2
620,620,4,1
621,621,2,2
622,622,3,7
623,623,2,8
624,624,4,3
625,625,5,8
626,626,3,8
627,627,4,8
628,628,3,7
629,629,1,7
630,630,5,1
631,631,5,6
632,632,2,6
633,633,1,3
634,634,3,6
635,635,3,1
636,636,2,2
637,637,3,7
638,638,4,1
639,639,5,5
640,640,5,3
641,641,6,5
642,642,5,8
643,643,6,1
644,644,2,2
645,645,1,2
646,646,3,8
647,647,4,4
648,648,1,1
649,649,1,2
650,650,2,3
651,651,3,4
652,652,2,5
653,653,1,8
654,654,5,5
655,655,4,3
656,656,2,5
657,657,3,5
658,658,4,7
659,659,1,7
660,660,3,2
661,661,4,1
662,662,5,6
663,663,5,8
664,664,1,6
665,665,5,2
666,666,4,1
667,667,2,4
668,668,2,5
669,669,4,4
670,670,1,5
671,671,6,2
672,672,5,5
673,673,2,3
674,674,5,1
675,675,3,5
676,676,6,3
677,677,1,4
678,678,4,4
679,679,5,6
680,680,1,3
681,681,5,1
682,682,3,5
683,683,4,3
684,684,4,7
685,685,6,4
686,686,4,1
687,687,5,3
688,688,3,6
689,689,3,4
690,690,5,2
691,691,3,3
692,692,6,2
693,693,3,4
694,694,6,8
695,695,2,4
696,696,1,8
697,697,2,5
698,698,3,6
699,699,5,6
700,700,3,3
701,701,5,3
702,702,5,1
703,703,2,8
704,704,2,2
705,705,4,6
706,706,5,4
707,707,3,4
708,708,4,2
709,709,5,5
710,710,3,5
711,711,2,6
712,712,4,7
713,713,1,7
714,714,2,4
715,715,3,4
716,716,3,5
717,717,4,8
718,718,6,8
719,719,5,7
720,720,2,2
721,721,4,6
722,722,2,1
723,723,5,2
724,724,2,8
725,725,1,2
726,726,4,6
727,727,1,6
728,728,6,2
729,729,4,7
730,730,4,7
731,731,5,2
732,732,5,2
733,733,4,1
734,734,2,8
735,735,2,6
736,736,2,7
737,737,3,8
738,738,1,7
739,739,3,5
740,740,5,1
741,741,3,8
742,742,1,6
743,743,3,7
744,744,4,3
745,745,5,3
746,746,2,4
747,747,2,1
748,748,4,7
749,749,3,1
750,750,2,4
751,751,5,4
752,752,1,1
753,753,1,3
754,754,5,6
755,755,1,3
756,756,5,4
757,757,5,5
758,758,6,4
759,759,4,7
760,760,5,7
761,761,5,7
762,762,2,1
763,763,5,6
764,764,3,4
765,765,2,2
766,766,2,6
767,767,1,8
768,768,2,3
769,769,2,5
770,770,5,6
771,771,3,7
772,772,5,6
773,773,6,3
774,774,6,3
775,775,1,1
776,776,2,7
777,777,3,1
778,778,2,4
779,779,1,4
780,780,2,8
781,781,2,7
782,782,1,1
783,783,2,2
784,784,5,3
785,785,3,4
786,786,4,7
787,787,5,3
788,788,3,3
789,789,6,2
790,790,3,8
791,791,4,6
792,792,2,8
793,793,4,3
794,794,1,3
795,795,1,2
796,796,1,5
797,797,2,6
798,798,2,8
799,799,6,3
800,800,5,2
801,801,4,4
802,802,2,4
803,803,4,4
804,804,5,4
805,805,4,7
806,806,3,2
807,807,4,7
808,808,2,6
809,809,6,5
810,810,3,6
811,811,4,5
812,812,5,4
813,813,5,5
814,814,3,3
815,815,3,8
816,816,2,3
817,817,4,4
818,818,1,1
819,819,4,1
820,820,4,1
821,821,2,7
822,822,2,2
823,823,5,2
824,824,1,2
825,825,1,7
826,826,3,7
827,827,6,6
828,828,2,8
829,829,4,1
830,830,4,5
831,831,2,1
832,832,1,1
833,833,5,5
834,834,2,5
835,835,1,2
836,836,4,7
837,837,4,6
838,838,4,5
839,839,6,2
840,840,2,3
841,841,2,2
842,842,1,1
843,843,4,4
844,844,1,2
845,845,2,4
846,846,5,3
847,847,1,5
848,848,3,2
849,849,3,5
850,850,2,2
851,851,5,6
852,852,2,5
853,853,1,6
854,854,5,3
855,855,6,7
856,856,5,4
857,857,3,5
858,858,2,4
859,859,6,2
860,860,1,2
861,861,2,3
862,862,1,1
863,863,3,7
864,864,1,8
865,865,5,3
866,866,3,7
867,867,4,8
868,868,5,8
869,869,2,3
870,870,1,1
871,871,2,7
872,872,2,3
873,873,2,4
874,874,4,2
875,875,1,1
876,876,5,8
877,877,1,4
878,878,4,1
879,879,1,8
880,880,4,6
881,881,1,6
882,882,5,8
883,883,5,1
884,884,4,7
885,885,4,2
886,886,6,5
887,887,6,7
888,888,4,1
889,889,5,8
890,890,1,7
891,891,3,6
892,892,3,7
893,893,5,1
894,894,3,2
895,895,5,1
896,896,1,7
897,897,4,2
898,898,4,6
899,899,3,2
900,900,5,1
901,901,3,8
902,902,2,2
903,903,5,1
904,904,1,5
905,905,2,1
906,906,5,1
907,907,5,8
908,908,2,2
909,909,1,7
910,910,6,4
911,911,2,6
912,912,5,1
913,913,6,4
914,914,4,8
915,915,5,5
916,916,6,2
917,917,2,6
918,918,2,2
919,919,1,6
920,920,5,7
921,921,2,6
922,922,6,3
923,923,2,6
924,924,6,2
925,925,1,2
926,926,1,3
927,927,5,6
928,928,2,1
929,929,4,1
930,930,5,2
931,931,6,2
932,932,5,2
933,933,4,5
934,934,5,8
935,935,5,7
936,936,6,7
937,937,2,6
938,938,3,7
939,939,3,3
940,940,5,5
941,941,5,3
942,942,4,4
943,943,3,4
944,944,1,1
945,945,4,2
946,946,4,5
947,947,4,4
948,948,4,1
949,949,1,1
950,950,1,7
951,951,5,6
952,952,5,2
953,953,4,5
954,954,3,2
955,955,5,7
956,956,2,1
957,957,1,4
958,958,6,7
959,959,1,5
960,960,2,1
961,961,4,3
962,962,5,7
963,963,1,5
964,964,2,2
965,965,1,2
966,966,4,6
967,967,5,7
968,968,1,7
969,969,3,4
970,970,4,4
971,971,3,3
972,972,2,7
973,973,6,1
974,974,2,6
975,975,1,2
976,976,5,2
977,977,2,4
978,978,6,3
979,979,4,6
980,980,2,2
981,981,2,6
982,982,3,6
983,983,1,3
984,984,3,4
985,985,1,3
986,986,1,7
987,987,2,2
988,988,2,5
989,989,1,1
990,990,2,3
991,991,1,6
992,992,5,5
993,993,1,5
994,994,3,5
995,995,3,2
996,996,2,1
997,997,2,3
998,998,6,5
999,999,4,2
1000,1000,6,2
1001,1001,1,8
1002,1002,4,4
1003,1003,4,7
1004,1004,4,7
1005,1005,4,4
1006,1006,3,3
1007,1007,5,7
1008,1008,4,5
1009,1009,6,2
1010,1010,2,5
1011,1011,2,3
1012,1012,3,3
1013,1013,3,3
1014,1014,1,2
1015,1015,5,8
1016,1016,1,5
1017,1017,4,6
1018,1018,6,7
1019,1019,3,4
1020,1020,1,2
1021,1021,1,7
1022,1022,4,4
1023,1023,3,4
1024,1024,1,1
1025,1025,1,5
1026,1026,2,2
1027,1027,4,3
1028,1028,5,5
1029,1029,2,5
1030,1030,2,5
1031,1031,3,1
1032,1032,1,6
1033,1033,4,3
1034,1034,3,8
1035,1035,3,1
1036,1036,2,3
1037,1037,4,5
1038,1038,2,3
1039,1039,2,4
1040,1040,4,2
1041,1041,3,2
1042,1042,2,5
1043,1043,3,4
1044,1044,1,7
1045,1045,5,5
1046,1046,3,8
1047,1047,4,4
1048,1048,1,5
1049,1049,3,1
1050,1050,2,8
1051,1051,5,2
1052,1052,5,7
1053,1053,2,7
1054,1054,3,1
1055,1055,3,6
1056,1056,1,5
1057,1057,1,1
1058,1058,4,1
1059,1059,3,7
1060,1060,5,7
1061,1061,5,4
1062,1062,1,8
1063,1063,2,7
1064,1064,4,5
1065,1065,3,2
1066,1066,5,8
1067,1067,3,7
1068,1068,4,7
1069,1069,5,8
1070,1070,2,8
1071,1071,3,1
1072,1072,1,3
1073,1073,4,8
1074,1074,3,1
1075,1075,2,4
1076,1076,5,6
1077,1077,4,6
1078,1078,3,8
1079,1079,5,2
1080,1080,4,6
1081,1081,6,7
1082,1082,4,7
1083,1083,1,7
1084,1084,2,7
1085,1085,2,6
1086,1086,3,6
1087,1087,4,1
1088,1088,4,3
1089,1089,1,1
1090,1090,2,6
1091,1091,5,3
1092,1092,4,5
1093,1093,3,1
1094,1094,3,8
1095,1095,6,6
1096,1096,3,2
1097,1097,4,6
1098,1098,4,5
1099,1099,3,7
1100,1100,6,1
1101,1101,3,7
1102,1102,5,7
1103,1103,3,5
1104,1104,1,7
1105,1105,3,6
1106,1106,2,4
1107,1107,1,3
1108,1108,3,3
1109,1109,3,1
1110,1110,3,6
1111,1111,3,7
1112,1112,1,8
1113,1113,3,2
1114,1114,1,8
1115,1115,5,1
1116,1116,1,7
1117,1117,4,5
1118,1118,4,7
1119,1119,2,2
1120,1120,1,1
1121,1121,4,7
1122,1122,1,7
1123,1123,4,8
1124,1124,4,8
1125,1125,5,4
1126,1126,3,7
1127,1127,3,1
1128,1128,4,4
1129,1129,4,1
1130,1130,3,8
1131,1131,3,3
1132,1132,4,3
1133,1133,3,7
1134,1134,5,2
1135,1135,3,3
1136,1136,3,4
1137,1137,1,2
1138,1138,2,2
1139,1139,4,2
1140,1140,5,8
1141,1141,3,4
1142,1142,1,7
1143,1143,3,7
1144,1144,2,2
1145,1145,2,7
1146,1146,4,6
1147,1147,2,8
1148,1148,6,1
1149,1149,3,8
1150,1150,5,2
1151,1151,4,3
1152,1152,3,4
1153,1153,2,2
1154,1154,1,4
1155,1155,6,7
1156,1156,1,7
1157,1157,4,8
1158,1158,4,3
1159,1159,2,3
1160,1160,2,5
1161,1161,2,5
1162,1162,2,8
1163,1163,4,4
1164,1164,5,1
1165,1165,4,4
1166,1166,4,5
1167,1167,2,7
1168,1168,3,7
1169,1169,1,2
1170,1170,4,3
1171,1171,5,4
1172,1172,2,2
1173,1173,2,3
1174,1174,2,1
1175,1175,2,4
1176,1176,4,8
1177,1177,4,4
1178,1178,5,6
1179,1179,2,3
1180,1180,6,4
1181,1181,1,1
1182,1182,4,7
1183,1183,4,2
1184,1184,1,3
1185,1185,2,5
1186,1186,4,4
1187,1187,3,3
1188,1188,2,5
1189,1189,2,2
1190,1190,4,2
1191,1191,2,6
1192,1192,4,5
1193,1193,5,7
1194,1194,3,3
1195,1195,1,7
1196,1196,6,3
1197,1197,1,8
1198,1198,2,3
1199,1199,1,7
1200,1200,4,2
1201,1201,4,5
1202,1202,4,4
1203,1203,4,7
1204,1204,3,6
1205,1205,4,2
1206,1206,3,3
1207,1207,5,6
1208,1208,5,5
1209,1209,1,7
1210,1210,1,8
1211,1211,2,5
1212,1212,1,7
1213,1213,2,4
1214,1214,1,8
1215,1215,5,1
1216,1216,4,7
1217,1217,3,7
1218,1218,3,6
1219,1219,1,1
1220,1220,5,5
1221,1221,4,4
1222,1222,1,4
1223,1223,2,4
1224,1224,3,7
1225,1225,1,7
1226,1226,5,6
1227,1227,4,4
1228,1228,1,6
1229,1229,6,2
1230,1230,3,7
1231,1231,5,5
1232,1232,4,1
1233,1233,2,3
1234,1234,1,1
1235,1235,6,3
1236,1236,5,6
1237,1237,3,7
1238,1238,6,2
1239,1239,3,2
1240,1240,5,6
1241,1241,4,8
1242,1242,5,1
1243,1243,2,2
1244,1244,4,6
1245,1245,2,8
1246,1246,3,8
1247,1247,1,4
1248,1248,3,1
1249,1249,1,1
1250,1250,5,1
1251,1251,1,7
1252,1252,5,4
1253,1253,3,7
1254,1254,5,6
1255,1255,6,1
1256,1256,1,6
1257,1257,2,5
1258,1258,1,2
1259,1259,4,2
1260,1260,1,1
1261,1261,4,5
1262,1262,2,7
1263,1263,3,4
1264,1264,6,1
1265,1265,4,1
1266,1266,1,1
1267,1267,2,3
1268,1268,1,3
1269,1269,3,8
1270,1270,3,2
1271,1271,3,1
1272,1272,4,8
1273,1273,4,2
1274,1274,3,6
1275,1275,1,8
1276,1276,1,1
1277,1277,3,6
1278,1278,5,4
1279,1279,4,1
1280,1280,4,5
1281,1281,6,5
1282,1282,1,5
1283,1283,2,8
1284,1284,2,5
1285,1285,4,3
1286,1286,2,4
1287,1287,5,8
1288,1288,3,4
1289,1289,1,6
1290,1290,5,3
1291,1291,1,2
1292,1292,1,6
1293,1293,5,1
1294,1294,1,5
1295,1295,5,2
1296,1296,4,3
1297,1297,4,7
1298,1298,6,2
1299,1299,5,4
1300,1300,5,5
1301,1301,1,1
1302,1302,3,6
1303,1303,5,6
1304,1304,5,8
1305,1305,2,4
1306,1306,4,3
1307,1307,5,5
1308,1308,3,3
1309,1309,2,6
1310,1310,5,5
1311,1311,6,3
1312,1312,4,6
1313,1313,4,5
1314,1314,5,4
1315,1315,3,8
1316,1316,5,8
1317,1317,3,7
1318,1318,3,3
1319,1319,1,1
1320,1320,3,4
1321,1321,5,3
1322,1322,6,4
1323,1323,1,5
1324,1324,4,1
1325,1325,4,1
1326,1326,5,4
1327,1327,4,1
1328,1328,3,1
1329,1329,1,8
1330,1330,4,6
1331,1331,4,3
1332,1332,1,6
1333,1333,1,2
1334,1334,5,4
1335,1335,2,6
1336,1336,5,8
1337,1337,5,6
1338,1338,2,4
1339,1339,4,7
1340,1340,5,3
1341,1341,3,4
1342,1342,6,8
1343,1343,4,5
1344,1344,4,5
1345,1345,1,4
1346,1346,2,1
1347,1347,3,3
1348,1348,2,5
1349,1349,5,4
1350,1350,2,4
1351,1351,3,4
1352,1352,1,1
1353,1353,4,2
1354,1354,3,7
1355,1355,4,4
1356,1356,4,4
1357,1357,6,3
1358,1358,4,1
1359,1359,4,1
1360,1360,2,8
1361,1361,1,3
1362,1362,1,4
1363,1363,3,7
1364,1364,5,3
1365,1365,4,6
1366,1366,2,6
1367,1367,3,4
1368,1368,2,5
1369,1369,4,8
1370,1370,2,4
1371,1371,2,7
1372,1372,4,6
1373,1373,2,8
1374,1374,2,1
1375,1375,5,4
1376,1376,2,2
1377,1377,3,4
1378,1378,1,8
1379,1379,5,8
1380,1380,4,7
1381,1381,4,4
1382,1382,4,6
1383,1383,1,5
1384,1384,5,8
1385,1385,5,3
1386,1386,4,7
1387,1387,4,3
1388,1388,2,1
1389,1389,5,7
1390,1390,3,7
1391,1391,5,8
1392,1392,5,6
1393,1393,5,5
1394,1394,5,7
1395,1395,4,1
1396,1396,4,4
1397,1397,4,5
1398,1398,3,1
1399,1399,6,7
1400,1400,6,2
1401,1401,5,2
1402,1402,3,5
1403,1403,4,3
1404,1404,2,1
1405,1405,3,8
1406,1406,4,3
1407,1407,4,6
1408,1408,6,2
1409,1409,1,2
1410,1410,3,3
1411,1411,2,6
1412,1412,3,8
1413,1413,2,2
1414,1414,3,2
1415,1415,1,7
1416,1416,3,6
1417,1417,3,1
1418,1418,3,6
1419,1419,5,5
1420,1420,6,5
1421,1421,1,5
1422,1422,1,3
1423,1423,1,7
1424,1424,2,4
1425,1425,5,7
1426,1426,2,7
1427,1427,5,8
1428,1428,3,3
1429,1429,6,4
1430,1430,4,8
1431,1431,3,6
1432,1432,1,6
1433,1433,4,4
1434,1434,5,6
1435,1435,2,4
1436,1436,5,5
1437,1437,4,8
1438,1438,1,4
1439,1439,3,7
1440,1440,4,7
1441,1441,5,7
1442,1442,5,5
1443,1443,1,3
1444,1444,3,5
1445,1445,6,6
1446,1446,4,4
1447,1447,1,8
1448,1448,5,8
1449,1449,4,4
1450,1450,1,8
1451,1451,3,2
1452,1452,1,8
1453,1453,4,2
1454,1454,5,1
1455,1455,4,8
1456,1456,3,3
1457,1457,4,8
1458,1458,2,8
1459,1459,5,5
1460,1460,3,6
1461,1461,5,8
1462,1462,5,7
1463,1463,2,3
1464,1464,6,4
1465,1465,3,7
1466,1466,5,6
1467,1467,5,3
1468,1468,4,6
1469,1469,4,6
1470,1470,3,5
1471,1471,5,6
1472,1472,1,5
1473,1473,4,5
1474,1474,4,1
1475,1475,1,6
1476,1476,3,4
1477,1477,3,2
1478,1478,3,3
1479,1479,1,2
1480,1480,5,5
1481,1481,1,7
1482,1482,2,3
1483,1483,2,8
1484,1484,4,6
1485,1485,1,3
1486,1486,4,3
1487,1487,2,1
1488,1488,1,3
1489,1489,4,7
1490,1490,1,7
1491,1491,6,1
1492,1492,5,1
1493,1493,5,5
1494,1494,6,6
1495,1495,1,3
1496,1496,4,8
1497,1497,4,3
1498,1498,2,5
1499,1499,2,6
1500,1500,5,8
1501,1501,3,8
1502,1502,2,3
1503,1503,2,6
1504,1504,4,7
1505,1505,3,1
1506,1506,2,5
1507,1507,5,6
1508,1508,2,2
1509,1509,3,4
1510,1510,1,5
1511,1511,6,6
1512,1512,5,8
1513,1513,2,5
1514,1514,5,4
1515,1515,1,2
1516,1516,6,5
1517,1517,3,4
1518,1518,3,7
1519,1519,5,2
1520,1520,5,4
1521,1521,6,7
1522,1522,5,3
1523,1523,2,1
1524,1524,1,2
1525,1525,6,2
1526,1526,1,4
1527,1527,1,4
1528,1528,4,2
1529,1529,1,6
1530,1530,5,3
1531,1531,5,7
1532,1532,2,1
1533,1533,2,7
1534,1534,5,6
1535,1535,4,1
1536,1536,5,6
1537,1537,2,3
1538,1538,3,2
1539,1539,4,7
1540,1540,3,4
1541,1541,1,8
1542,1542,6,4
1543,1543,3,6
1544,1544,1,1
1545,1545,4,2
1546,1546,1,1
1547,1547,2,4
1548,1548,5,3
1549,1549,6,4
1550,1550,4,6
1551,1551,1,2
1552,1552,3,7
1553,1553,2,1
1554,1554,3,1
1555,1555,6,3
1556,1556,2,7
1557,1557,5,7
1558,1558,2,7
1559,1559,4,6
1560,1560,4,3
1561,1561,4,1
1562,1562,5,4
1563,1563,4,2
1564,1564,1,8
1565,1565,6,1
1566,1566,5,7
1567,1567,4,5
1568,1568,5,3
1569,1569,4,1
1570,1570,4,4
1571,1571,3,4
1572,1572,4,5
1573,1573,3,6
1574,1574,3,1
1575,1575,3,8
1576,1576,4,7
1577,1577,4,8
1578,1578,1,4
1579,1579,2,2
1580,1580,1,7
1581,1581,4,3
1582,1582,3,3
1583,1583,5,1
1584,1584,5,2
1585,1585,2,7
1586,1586,1,5
1587,1587,3,3
1588,1588,5,1
1589,1589,1,5
1590,1590,2,7
1591,1591,3,7
1592,1592,4,5
1593,1593,3,7
1594,1594,3,5
